INFO 2026-06-24 15:41:24,766 django.server log.py:249 - "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 304 0
INFO 2026-06-24 15:41:24,767 django.server log.py:249 - "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2026-06-24 15:41:24,846 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 15:41:24,952 django.server log.py:249 - "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:41:24,952 django.server log.py:249 - "GET /static/admin/img/selector-icons.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:41:24,953 django.server log.py:249 - "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:41:40,753 django.server log.py:249 - "GET /admin/discussion_app/subject/ HTTP/1.1" 200 13108
INFO 2026-06-24 15:41:40,868 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 15:41:42,962 django.server log.py:249 - "GET /admin/discussion_app/subject/add/ HTTP/1.1" 200 14328
INFO 2026-06-24 15:41:43,068 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 15:41:50,511 discussion_app.admin admin.py:18 - Admin: Mri createdSubject: Subject object (0429166d-b107-4b3c-8f86-c8cd9a0a4cb6)
INFO 2026-06-24 15:41:50,520 discussion_app.signals signals.py:78 - Subject created: Maths (UUID: 0429166d-b107-4b3c-8f86-c8cd9a0a4cb6)
INFO 2026-06-24 15:41:50,522 discussion_app.admin admin.py:31 - Admin addition: Mri - Subject object (0429166d-b107-4b3c-8f86-c8cd9a0a4cb6)
INFO 2026-06-24 15:41:50,536 django.server log.py:249 - "POST /admin/discussion_app/subject/add/ HTTP/1.1" 302 0
INFO 2026-06-24 15:41:50,683 django.server log.py:249 - "GET /admin/discussion_app/subject/ HTTP/1.1" 200 14988
INFO 2026-06-24 15:41:50,907 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 15:41:50,926 django.server log.py:249 - "GET /static/admin/img/icon-yes-dark.svg HTTP/1.1" 304 0
